Country,ISO3,indicateur_perf_logistique,pib_par_hab,stab_politique,population,tx_urbanisation,tarif_douanier_moyen,emissions_agri_pc,organic_share,hfce_per_capita_usd_const2015
Serbia,SRB,2.8,26242.3468505296,-0.174069464206696,6664449.0,56.873,,422.60477,0.72,5251.55817560711
Sub-Saharan Africa (excluding high income),SSA,2.53461538461538,4806.69201749983,,1103704408.0,44.6956889472847,,,,1151.77513157201
South Sudan,SSD,,,-2.21309995651245,11021177.0,20.846,,1521.6163,,
Sub-Saharan Africa,SSF,2.53461538461538,4609.4935974602,,1229208573.0,42.4493969365686,,,,1107.81380927111
Small states,SST,2.82,24209.2404811735,,19852364.0,51.8158557665979,,,,6657.15337452341
Sao Tome and Principe,STP,,6033.6811722183,0.460358828306198,226305.0,75.755,,44.18659,22.1,
Suriname,SUR,,20078.836554595,0.399689197540283,623164.0,66.307,9.91,224.65707,0.07,
Slovak Republic,SVK,3.3,41096.018502098,0.445335745811462,5431752.0,53.909,1.95,210.11493,13.42,11011.2383850833
Slovenia,SVN,3.3,51079.1780691932,0.709335088729858,2112076.0,55.751,1.95,236.3808,8.71,13686.1123286307
Sweden,SWE,4.0,66375.6164555727,0.910905122756958,10486941.0,88.492,1.95,400.48303,19.93,25157.3900760257
Eswatini,SWZ,,10665.4994162858,-0.210463792085648,1218917.0,24.576,4.74,311.75113,0.73,2200.69133381702
Sint Maarten (Dutch part),SXM,,47005.4692201475,,42139.0,100.0,,,,
Seychelles,SYC,,29972.8758315937,0.762523114681244,119878.0,58.396,1.91,0.0,,11382.6163681846
Syrian Arab Republic,SYR,2.3,4772.4616766716,-2.77689838409424,22462173.0,56.769,,103.28477,,242.229822761451
Turks and Caicos Islands,TCA,,30220.8240138134,,45847.0,94.047,,,,
Chad,TCD,,2845.04838304237,-1.47040486335754,18455316.0,24.063,18.55,1444.0281,,559.746226880203
East Asia & Pacific (IDA & IBRD countries),TEA,2.95833333333333,20149.1118362942,,2107261123.0,59.1757435746239,,,,3930.69231321954
Europe & Central Asia (IDA & IBRD countries),TEC,2.835,32847.9133688228,,461268322.0,67.0058080559943,,,,5927.11152727587
Togo,TGO,2.5,2852.06442925895,-0.788051605224609,9089738.0,43.921,12.85,195.82513,4.15,640.389291964658
Thailand,THA,3.5,22243.0747727026,-0.393339306116104,71735329.0,52.889,8.26,185.12498,1.03,3510.09110223362
Tajikistan,TJK,2.5,4514.17512398164,-0.740999102592468,10182222.0,27.968,,215.08063,1.66,933.489074176296
Turkmenistan,TKM,,18340.1112805299,-0.110257938504219,7230193.0,53.494,,780.0617,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.71304347826087,20711.3576224084,,637837815.0,81.5750058081646,,,,5969.29816702853
Timor-Leste,TLS,,5728.22147284378,0.256246715784073,1369295.0,32.074,,167.96916,9.46,845.10153034956
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2.36666666666667,10260.2634270376,,711465045.0,51.7147486556237,,,,1976.2968053359
Tonga,TON,,7393.79648926129,1.09290516376495,105042.0,23.125,9.84,190.3801,0.92,4020.76138617593
South Asia (IDA & IBRD),TSA,2.825,9129.6017328325,,1648009565.0,35.7853207636492,,,,1292.60989835056
